Date                Item           Quantity  Type
05-11-2019 15:40:59 Pepsi          2         5.0       CANCELLATION
05-11-2019 15:42:43 Pepsi          2         5.0       CANCELLATION
05-11-2019 15:43:28 Pepsi          2         5.0       CANCELLATION
05-11-2019 15:44:31 Pepsi          2         5.0       CANCELLATION
05-11-2019 15:44:54 Pepsi          2         5.0       CANCELLATION
05-11-2019 16:19:40 Coke           1         3.0       PURCHASE  
05-11-2019 16:19:40 Chips          1         4.0       CANCELLATION
05-11-2019 16:19:40 Pepsi          2         5.0       CANCELLATION
05-11-2019 16:21:26 Coke           1         3.0       PURCHASE  
05-11-2019 16:21:26 Chips          1         4.0       CANCELLATION
05-11-2019 16:21:26 Pepsi          2         5.0       CANCELLATION
05-11-2019 16:21:32 Coke           1         3.0       PURCHASE  
05-11-2019 16:21:32 Chips          1         4.0       CANCELLATION
05-11-2019 16:21:33 Pepsi          2         5.0       CANCELLATION
05-11-2019 17:07:47 Coke           1         3.0       PURCHASE  
05-11-2019 17:07:47 Chips          1         4.0       CANCELLATION
05-11-2019 17:07:47 Pepsi          2         5.0       CANCELLATION
05-11-2019 17:29:26 Pepsi          2         5.0       CANCELLATION
05-11-2019 17:33:03 Coke           1         3.0       PURCHASE  
05-11-2019 17:33:03 Chips          1         4.0       CANCELLATION
05-11-2019 17:33:03 Pepsi          2         5.0       CANCELLATION
05-11-2019 17:35:09 Pepsi          3         5.0       PURCHASE  
05-11-2019 17:35:24 Pepsi          3         5.0       PURCHASE  
05-11-2019 17:37:06 Pepsi          3         5.0       PURCHASE  
05-11-2019 17:46:31 Pepsi          3         5.0       PURCHASE  
05-11-2019 17:48:51 Pepsi          3         5.0       PURCHASE  
05-11-2019 17:49:19 Pepsi          3         5.0       PURCHASE  
05-11-2019 17:56:09 Coke           1         3.0       PURCHASE  
05-11-2019 17:56:09 Chips          1         4.0       CANCELLATION
05-11-2019 17:56:09 Pepsi          3         5.0       PURCHASE  
05-11-2019 17:56:09 Pepsi          3         5.0       PURCHASE  
05-11-2019 17:56:09 Pepsi          2         5.0       CANCELLATION
05-11-2019 17:58:11 Pepsi          10        5.0       PURCHASE  
05-11-2019 17:58:11 Sprite         10        5.0       PURCHASE  
05-11-2019 17:58:11 Coke           10        5.0       PURCHASE  
05-11-2019 17:58:11 Orange Juice   10        5.0       PURCHASE  
05-11-2019 17:58:11 Red Rock Deli  10        5.0       PURCHASE  
05-11-2019 17:58:11 Mars bar       10        5.0       PURCHASE  
05-11-2019 17:58:11 Jelly Beans    5         10.0      PURCHASE  
05-11-2019 18:00:38 Pepsi          10        5.0       PURCHASE  
05-11-2019 18:00:38 Sprite         10        5.0       PURCHASE  
05-11-2019 18:00:38 Coke           10        5.0       PURCHASE  
05-11-2019 18:00:38 Orange Juice   10        5.0       PURCHASE  
05-11-2019 18:00:38 Red Rock Deli  10        5.0       PURCHASE  
05-11-2019 18:00:38 Mars bar       10        5.0       PURCHASE  
05-11-2019 18:01:05 Pepsi          10        5.0       PURCHASE  
05-11-2019 18:01:05 Sprite         10        5.0       PURCHASE  
05-11-2019 18:01:05 Coke           10        5.0       PURCHASE  
05-11-2019 18:01:05 Orange Juice   10        5.0       PURCHASE  
05-11-2019 18:01:05 Red Rock Deli  10        5.0       PURCHASE  
05-11-2019 18:01:05 Mars bar       10        5.0       PURCHASE  
